2017 Domain Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,HD4: Member Complaints and Changes in the Health Plan's Performance,HD5: Health Plan Customer Service,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Planís Performance,DD3: Member Experience with the Drug Plan,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3204,Local CCP,PRESBYTERIAN HEALTH PLAN,Presbyterian Senior Care (HMO),Presbyterian Healthcare Services,4,4,3,4,4,4,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3206,Local CCP,"PRESBYTERIAN INSURANCE COMPANY, INC.",Presbyterian MediCare PPO,Presbyterian Healthcare Services,4,3,3,5,3,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3233,Local CCP,PREMIER HEALTH INSURING CORPORATION,Premier Health Plan,Premier Health Partners,Not enough data available,4,4,5,5,4,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3237,Demo,"HEALTH NET COMMUNITY SOLUTIONS, INC.",Health Net Cal MediConnect Medicare Medicaid Plan,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3240,Local CCP,"AMERIGROUP NEW JERSEY, INC.",Amerigroup Community Care,Anthem Inc.,3,3,2,4,Not enough data available,5,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3251,Local CCP,HEALTH CARE SERVICE CORPORATION,Blue Cross Blue Shield of New Mexico,Health Care Service Corporation,3,3,2,4,3,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3259,Local CCP,VOLUNTEER STATE HEALTH PLAN,BlueCare Plus Tennessee,BlueCross BlueShield of Tennessee,2,3,4,4,Not enough data available,5,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3262,Local CCP,"FRESENIUS HEALTH PLANS OF NEW YORK, INC.",Fresenius Health Plans,Fresenius Medicare Care AG & Co. KGaA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3291,Local CCP,"PRUITTHEALTH PREMIER, INC.",PruittHealth Premier (HMO SNP),"UNICO Premier, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3305,Local CCP,"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,"MVP Health Care, Inc.",4,4,5,4,4,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3307,Local CCP,"OXFORD HEALTH PLANS (NY), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,2,4,5,5,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3312,Local CCP,AETNA HEALTH INC. (NY),Aetna Medicare,Aetna Inc.,3,4,3,4,3,5,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3314,1876 Cost,HEALTH INSURANCE PLAN OF GREATER NEW YORK,HIP Health Plan of Greater New York,"EmblemHealth, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3328,Local CCP,"THE NEW YORK STATE CATHOLIC HEALTH PLAN, INC.",Fidelis Care,"The New York State Catholic Health Plan, Inc.",4,4,2,5,4,5,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3330,Local CCP,HEALTH INSURANCE PLAN OF GREATER NEW YORK,EmblemHealth Medicare HMO,"EmblemHealth, Inc.",3,4,2,5,4,2,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3335,Local CCP,"EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc.",4,3,4,4,5,5,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3337,Local CCP,"LIBERTY HEALTH ADVANTAGE, INC.",Liberty Health Advantage,"Liberty Health Advantage, Inc.",2,4,1,3,3,5,3,Not enough data available,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3342,Local CCP,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",Empire BlueCross BlueShield,Anthem Inc.,3,3,4,4,4,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3344,Local CCP,INDEPENDENT HEALTH BENEFITS CORPORATION,Independent Health,"Independent Health Association, Inc.",4,4,4,5,4,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3347,Local CCP,"ELDERPLAN, INC.",Elderplan,"Elderplan, Inc.",2,2,2,4,4,4,4,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3351,Local CCP,"EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc.",4,4,4,4,4,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3359,Local CCP,"HEALTHFIRST HEALTH PLAN, INC.",Healthfirst Medicare Plan,"Healthfirst, Inc.",4,4,3,5,5,5,5,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3361,Local CCP,"WELLCARE OF NEW YORK, INC.",WellCare,"WellCare Health Plans, Inc.",3,3,1,4,4,3,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3362,Local CCP,"INDEPENDENT HEALTH ASSOCIATION, INC.",Independent Health,"Independent Health Association, Inc.",4,4,5,5,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3370,Local CCP,"EMPIRE HEALTHCHOICE HMO, INC.",Empire BlueCross BlueShield,Anthem Inc.,3,3,2,3,4,4,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3379,Local CCP,"UNITEDHEALTHCARE OF NEW YORK, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,4,2,4,5,5,5,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3384,Local CCP,HEALTHNOW NEW YORK INC.,BlueCross BlueShield of WNY and BlueShield of NENY,HealthNow New York Inc.,4,3,4,5,5,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3387,Local CCP,"UNITEDHEALTHCARE OF NEW YORK, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,2,4,5,5,4,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3388,Local CCP,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC.",CDPHP Medicare Choices,"Capital District Physicians' Health Plan, Inc.",4,3,5,4,4,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3404,Local CCP,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,4,2,4,4,4,2,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3416,Local CCP,"HEALTHPARTNERS UNITYPOINT HEALTH, INC.",HealthPartners UnityPoint Health,"HealthPartners UnityPoint Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3447,Local CCP,"HEALTHKEEPERS, INC.",Anthem HealthKeepers,Anthem Inc.,4,5,3,4,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3449,Local CCP,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,3,3,3,4,4,2,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3471,Local CCP,"HEALTH ALLIANCE NORTHWEST HEALTH PLAN, INC.",Health Alliance Medicare,The Carle Foundation,3,4,4,4,Not enough data available,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3480,Demo,"HUMANA HEALTH PLAN, INC.",Humana Gold Plus Integrated,Humana Inc.,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3503,1876 Cost,SANFORD HEART OF AMERICA HEALTH PLAN,Sanford Heart of America Health Plan,Sanford,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3528,Local CCP,"CONNECTICARE, INC.","ConnectiCare, Inc.","EmblemHealth, Inc.",4,4,4,4,5,2,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3533,Local CCP,"HUMANA HEALTH COMPANY OF NEW YORK, INC.","Humana Health Company of New York, Inc.",Humana Inc.,3,4,2,4,Not enough data available,2,3,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3536,Local CCP,"MATTHEW THORNTON HEALTH PLAN, INC.",Anthem Blue Cross and Blue Shield,Anthem Inc.,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3561,Local CCP,"HEALTH NET COMMUNITY SOLUTIONS, INC.","HEALTH NET COMMUNITY SOLUTIONS, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3597,Local CCP,AETNA HEALTH INC. (ME),Aetna Medicare,Aetna Inc.,4,4,5,4,4,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3653,Local CCP,"PARAMOUNT CARE, INC.",Paramount Elite,Promedica Health System,4,4,5,5,Not enough data available,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3655,Local CCP,COMMUNITY INSURANCE COMPANY,Anthem Blue Cross and Blue Shield,Anthem Inc.,3,4,4,5,4,5,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3660,Local CCP,SUMMACARE INC.,SummaCare Medicare Advantage Plans,Summa Health System,4,3,4,3,4,4,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3664,Local CCP,AULTCARE HEALTH INSURING CORPORATION,PrimeTime Health Plan,Aultman Health Foundation,4,4,5,4,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3668,Local CCP,"MOUNT CARMEL HEALTH PLAN, INC.",MediGold,Trinity Health,3,3,4,4,4,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3672,Local CCP,HEALTH PLAN OF THE UPPER OHIO VALLEY,The Health Plan,Health Plan of the Upper Ohio Valley,3,3,5,4,Not enough data available,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3706,Local CCP,"GLOBALHEALTH, INC.",GlobalHealth,"Kinderhook Capital Fund III, L.P.",2,3,3,5,Not enough data available,4,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3708,Local CCP,"OKLAHOMA SUPERIOR SELECT, INC.",Tribute Health Plan of Oklahoma,"Healthcare Investors, LLC",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3749,Local CCP,"UNITEDHEALTHCARE OF OKLAHOMA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,4,4,5,5,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3755,Local CCP,"COMMUNITY CARE HMO, INC",CommunityCare Senior Health Plan (HMO),"CommunityCare Managed Healthcare Plans of OK, Inc.",4,4,5,5,4,3,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3765,Local CCP,HEARTLANDPLAINS HEALTH,HeartlandPlains Health,Catholic Health Initiatives,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3794,Local CCP,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3805,Local CCP,"UNITEDHEALTHCARE OF OREGON, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,4,4,5,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3810,Local CCP,"ALLCARE HEALTH PLAN, INC.",AllCare Advantage,"MidRogue AllCare Health Assurance, Inc.",3,3,4,4,Not enough data available,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3811,Local CCP,"SAMARITAN HEALTH PLANS, INC.",Samaritan Advantage Health Plan,Samaritan Health Services,3,3,4,4,3,3,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3813,Local CCP,"MODA HEALTH PLAN, INC.","Moda Health Plan, Inc.","Moda, Inc.",4,3,4,5,4,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3814,Local CCP,ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Health Plans,3,3,3,4,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3815,Local CCP,ALIGNMENT HEALTH PLAN,Alignment Health Plan,"Alignment Healthcare USA, LLC",3,3,2,3,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3817,Local CCP,REGENCE BLUECROSS BLUESHIELD OF OREGON,Regence BlueCross BlueShield of Oregon,"Cambia Health Solutions, Inc.",4,4,4,4,5,5,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3818,Local CCP,"FAMILYCARE HEALTH PLANS, INC.",FamilyCare Health,FamilyCare Incorporated,3,3,4,4,Not enough data available,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3822,Local CCP,HEALTH CARE SERVICE CORPORATION,"Blue Cross Blue Shield of IL, MT, NM",Health Care Service Corporation,4,4,3,4,3,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3832,Local CCP,HAWAII MEDICAL SERVICE ASSOCIATION,HMSA Akamai Advantage,Hawaii Medical Service Association,4,3,3,4,Not enough data available,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3864,Local CCP,PACIFICSOURCE COMMUNITY HEALTH PLANS,PacificSource Medicare,PacificSource Health Plans,3,3,4,3,5,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3890,Local CCP,"HOPKINS HEALTH ADVANTAGE, INC.",Johns Hopkins HealthCare LLC,Johns Hopkins Healthcare LLC,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3907,Local CCP,"UPMC HEALTH PLAN, INC.",UPMC Health Plan,UPMC Health System,3,4,4,5,5,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3909,Local CCP,QCC INSURANCE COMPANY,Personal Choice 65 PPO,"Independence Health Group, Inc.",4,3,5,4,4,2,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3916,Local CCP,HIGHMARK SENIOR HEALTH COMPANY,Highmark Senior Health Company,Highmark Health,4,4,4,4,4,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3923,Local CCP,CAPITAL ADVANTAGE INSURANCE COMPANY,Capital Advantage Insurance Company,Capital BlueCross,4,3,4,4,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3924,Local CCP,GEISINGER INDEMNITY INSURANCE COMPANY,Geisinger Gold,Geisinger Health System,3,3,4,4,5,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3928,Local CCP,AETNA HEALTH INC. (LA),Coventry Health Care,Aetna Inc.,Not enough data available,3,Not enough data available,4,Not enough data available,5,4,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3931,Local CCP,AETNA HEALTH INC. (PA),Aetna Medicare,Aetna Inc.,4,4,3,4,3,5,4,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3945,Local CCP,CIGNA HEALTH AND LIFE INSURANCE COMPANY,Cigna-HealthSpring,CIGNA,3,3,2,4,1,1,4,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3949,Local CCP,"BRAVO HEALTH PENNSYLVANIA, INC.",Cigna-HealthSpring,CIGNA,4,4,2,4,1,1,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3952,Local CCP,"KEYSTONE HEALTH PLAN EAST, INC.",Keystone 65 HMO,"Independence Health Group, Inc.",4,3,4,4,4,2,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3954,Local CCP,GEISINGER HEALTH PLAN,Geisinger Gold,Geisinger Health System,4,4,4,4,5,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3957,Local CCP,HIGHMARK CHOICE COMPANY,Highmark Choice Company,Highmark Health,4,4,5,4,5,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3959,Local CCP,AETNA HEALTH INC. (PA),"d/b/a HealthAmerica Pennsylvania, Inc.",Aetna Inc.,3,4,4,3,4,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3962,Local CCP,"KEYSTONE HEALTH PLAN CENTRAL, INC.","Keystone Health Plan Central, Inc.",Capital BlueCross,3,3,4,4,4,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3979,Local CCP,"GHS HEALTH MAINTENANCE ORGANIZATION, INC.",Blue Cross Blue Shield of OK,Health Care Service Corporation,3,2,2,4,3,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4003,Local CCP,"MMM HEALTHCARE, LLC",Medicare y Mucho Mﬂs,InnovaCare Inc.,4,4,3,4,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4004,Local CCP,"MMM HEALTHCARE, LLC",PMC Medicare Choice,InnovaCare Inc.,4,4,3,4,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4005,Local CCP,"TRIPLE S ADVANTAGE, INC.",Triple-S Advantage,Triple-S Management Corporation,3,3,3,4,Not enough data available,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4007,Local CCP,"HUMANA HEALTH PLANS OF PUERTO RICO, INC.","HUMANA HEALTH PLANS OF PUERTO RICO, INC.",Humana Inc.,4,4,3,4,4,2,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4036,Local CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,Anthem Inc.,4,3,Not enough data available,4,Not enough data available,4,4,Not enough data available,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4093,Local CCP,"PROVIDER PARTNERS HEALTH PLAN OF PENNSYLVANIA, INC",Provider Partners Pennsylvania Advantage Plan,"Provider Partners Health Plan of Pennsylvania, Inc",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4141,Local CCP,"HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC.","Humana Employers Health Plan of Georgia, Inc.",Humana Inc.,3,4,2,4,4,2,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4145,Local CCP,"HUMANA REGIONAL HEALTH PLAN, INC.","Humana Regional Health Plan, Inc.",Humana Inc.,3,3,3,3,Not enough data available,2,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4152,Local CCP,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND,Blue Cross & Blue Shield of Rhode Island,Blue Cross & Blue Shield of Rhode Island,4,4,3,5,5,5,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4172,Local CCP,"NHC ADVANTAGE, LLC",NHC Advantage (HMO SNP),"Missouri Healthcare Advisors, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4198,Local CCP,"COMMUNITYCARE GOVERNMENT PROGRAMS, INC.",CommunityCare Advantage Medicare Plan (HMO),St Francis Health System & St John Health System,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4213,PFFS,USABLE MUTUAL INSURANCE COMPANY,ARKANSAS BLUE CROSS AND BLUE SHIELD,USAble Mutual Insurance Company,2,2,3,5,Not enough data available,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4227,Local CCP,"VISTA HEALTH PLAN, INC.","Vista Health Plan, Inc.","Independence Health Group, Inc.",2,3,3,3,4,2,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4262,PFFS,BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY,Blue Cross Blue Shield of Michigan,Blue Cross Blue Shield of Michigan Mutual Insuranc,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4279,Local CCP,"UPMC FOR YOU, INC",UPMC for You,UPMC Health System,3,4,4,4,4,4,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4346,Local CCP,CAREMORE HEALTH PLAN OF NEVADA,CareMore Health Plan of Nevada,Anthem Inc.,3,5,2,5,4,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4388,MSA,"SECURITY HEALTH PLAN OF WISCONSIN, INC.","Security Health Plan of Wisconsin, Inc.","Marshfield Clinic Health System, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4407,Local CCP,"HEALTHSPRING OF TENNESSEE, INC.",Cigna-HealthSpring,CIGNA,3,4,3,4,1,1,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4454,Local CCP,"HEALTHSPRING OF TENNESSEE, INC.",Cigna-HealthSpring,CIGNA,4,4,3,4,1,1,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4461,Local CCP,CARITEN HEALTH PLAN INC.,Cariten Health Plan Inc.,Humana Inc.,4,4,5,5,4,2,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4465,Demo,"INDEPENDENCE CARE SYSTEM, INC.",ICS Community Care Plus FIDA MMP,"Independence Care System, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4490,Local CCP,"MISSOURI MEDICARE SELECT, LLC",Missouri Medicare Select (HMO SNP),"MO Select, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4497,Local CCP,MEDICAL MUTUAL OF OHIO,Medical Mutual of Ohio,MEDICAL MUTUAL OF OHIO,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4506,Local CCP,"SELECTCARE OF TEXAS, INC.",Universal American Corp.,Universal American Corp.,4,4,3,5,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4513,Local CCP,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",Cigna-HealthSpring,CIGNA,4,4,3,5,1,1,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
