NAME,state,Population Over 65,Year
Virginia,51,182445.0,2019
Washington,53,141162.0,2019
West Virginia,54,36237.0,2019
Wisconsin,55,121341.0,2019
Wyoming,56,12599.0,2019
Pennsylvania,42,258364.0,2020
California,06,811647.0,2020
West Virginia,54,36070.0,2020
Utah,49,71513.0,2020
New York,36,379370.0,2020
Alaska,02,15233.0,2020
Florida,12,379403.0,2020
South Carolina,45,111641.0,2020
North Dakota,38,18733.0,2020
Maine,23,24049.0,2020
Georgia,13,229452.0,2020
Alabama,01,102164.0,2020
New Hampshire,33,28415.0,2020
Oregon,41,78489.0,2020
Wyoming,56,11993.0,2020
Arizona,04,153766.0,2020
Louisiana,22,94271.0,2020
Indiana,18,145927.0,2020
Idaho,16,36327.0,2020
Connecticut,09,77320.0,2020
Hawaii,15,24780.0,2020
Illinois,17,254773.0,2020
Massachusetts,25,151890.0,2020
Texas,48,626415.0,2020
Montana,30,21360.0,2020
Nebraska,31,41287.0,2020
Ohio,39,241251.0,2020
Colorado,08,117894.0,2020
New Jersey,34,166260.0,2020
Maryland,24,118513.0,2020
Virginia,51,181030.0,2020
Vermont,50,16003.0,2020
North Carolina,37,225312.0,2020
Arkansas,05,65400.0,2020
Washington,53,139504.0,2020
Kansas,20,65936.0,2020
Oklahoma,40,85207.0,2020
Wisconsin,55,120235.0,2020
Mississippi,28,67151.0,2020
Missouri,29,125236.0,2020
Michigan,26,210321.0,2020
Rhode Island,44,25242.0,2020
Minnesota,27,108815.0,2020
Iowa,19,70988.0,2020
New Mexico,35,42548.0,2020
Nevada,32,54523.0,2020
Delaware,10,18795.0,2020
Kentucky,21,93061.0,2020
South Dakota,46,19030.0,2020
Tennessee,47,134420.0,2020
Alabama,01,104196.0,2021
Alaska,02,15630.0,2021
Arizona,04,150508.0,2021
Arkansas,05,65228.0,2021
California,06,809311.0,2021
Colorado,08,118618.0,2021
Connecticut,09,78736.0,2021
Delaware,10,19436.0,2021
Florida,12,377465.0,2021
Georgia,13,230122.0,2021
Hawaii,15,25179.0,2021
Idaho,16,37659.0,2021
Illinois,17,258160.0,2021
Indiana,18,148391.0,2021
Iowa,19,72827.0,2021
Kansas,20,66957.0,2021
Kentucky,21,94874.0,2021
Louisiana,22,94668.0,2021
Maine,23,24740.0,2021
Maryland,24,119885.0,2021
Massachusetts,25,154210.0,2021
Michigan,26,210432.0,2021
Minnesota,27,110676.0,2021
Mississippi,28,67057.0,2021
Missouri,29,125121.0,2021
Montana,30,21647.0,2021
Nebraska,31,42099.0,2021
Nevada,32,54958.0,2021
New Hampshire,33,28756.0,2021
New Jersey,34,172655.0,2021
New Mexico,35,42895.0,2021
New York,36,388975.0,2021
North Carolina,37,225172.0,2021
North Dakota,38,19713.0,2021
Ohio,39,242941.0,2021
Oklahoma,40,86488.0,2021
Oregon,41,78555.0,2021
Pennsylvania,42,261692.0,2021
Rhode Island,44,25929.0,2021
South Carolina,45,110636.0,2021
South Dakota,46,19084.0,2021
Tennessee,47,136736.0,2021
Texas,48,626227.0,2021
Utah,49,74758.0,2021
Vermont,50,16590.0,2021
Virginia,51,183217.0,2021
Washington,53,141490.0,2021
West Virginia,54,36252.0,2021
Wisconsin,55,122249.0,2021
Wyoming,56,12082.0,2021
Alabama,01,114353.0,2022
Alaska,02,15921.0,2022
Arizona,04,153414.0,2022
Arkansas,05,68266.0,2022
California,06,827058.0,2022
Colorado,08,123327.0,2022
Connecticut,09,78952.0,2022
Delaware,10,19881.0,2022
Florida,12,397759.0,2022
Georgia,13,237038.0,2022
Hawaii,15,25684.0,2022
Idaho,16,42351.0,2022
Illinois,17,262325.0,2022
Indiana,18,151778.0,2022
Iowa,19,75546.0,2022
Kansas,20,70658.0,2022
Kentucky,21,94967.0,2022
Louisiana,22,97758.0,2022
Maine,23,25496.0,2022
Maryland,24,120701.0,2022
Massachusetts,25,153273.0,2022
Michigan,26,213359.0,2022
Minnesota,27,112585.0,2022
Mississippi,28,68796.0,2022
Missouri,29,129033.0,2022
Montana,30,22436.0,2022
Nebraska,31,43177.0,2022
Nevada,32,57745.0,2022
New Hampshire,33,28852.0,2022
New Jersey,34,176458.0,2022
New Mexico,35,45108.0,2022
New York,36,393686.0,2022
North Carolina,37,232180.0,2022
North Dakota,38,20568.0,2022
Ohio,39,246285.0,2022
Oklahoma,40,90802.0,2022
Oregon,41,79909.0,2022
Pennsylvania,42,274577.0,2022
Rhode Island,44,26589.0,2022
South Carolina,45,114935.0,2022
South Dakota,46,19399.0,2022
Tennessee,47,141478.0,2022
Texas,48,655458.0,2022
Utah,49,79105.0,2022
Vermont,50,16680.0,2022
Virginia,51,189870.0,2022
Washington,53,143828.0,2022
West Virginia,54,38124.0,2022
Wisconsin,55,125931.0,2022
Wyoming,56,12336.0,2022
Alabama,01,109999.0,2023
Alaska,02,15281.0,2023
Arizona,04,150662.0,2023
Arkansas,05,65496.0,2023
California,06,790481.0,2023
Colorado,08,120043.0,2023
Connecticut,09,73809.0,2023
Delaware,10,19695.0,2023
Florida,12,385572.0,2023
Georgia,13,230038.0,2023
Hawaii,15,24131.0,2023
Idaho,16,41631.0,2023
Illinois,17,251673.0,2023
Indiana,18,147062.0,2023
Iowa,19,74049.0,2023
